word
අම්මා
තාත්තා
මගේ
මම
අපි
ඔයා
සමන්
කමල්
නිමල්
සුනිල්
ගෙදර
කවුද
හරි
කොහොමද
පාසල
ගුරුවරයා
ළමයා
පොත
දුව
පුතා
යාලුවා
අම්මයි
තාත්තයි
රට
ගම
වතුර
බත්
කෑම
දවස
රාත්‍රිය
උත්සවය
නංගි
මල්ලි
අක්කා
අයියා
ද,da
ය,ya
මේ,me
ඒ,e
හා,ha
ම,ma
ඇති,ethi
ඇති,ethi
වූ,wu
බව,bawa
කළ,kala
ඔහු,ohu
කොහොමද,kohomada
කියන්න,kiyanna
වන,wana
විය,wiya
නම්,nam
දී,dee
කර,kara
කරන,karana
සඳහා,sandaha
අතර,athara
යි,yi
වී,wee
සහ,saha
ලෙස,lesa
හෝ,ho
ඇත,etha
එය,eya
නිසා,nisa
යන,yana
මෙම,mema
හැකි,heki
මම,mama
ව,wa
ගැන,gena
වේ,we
විසින්,wisin
විට,wita
එම,ema
තුළ,thula
ගෙන,gena
කොට,kota
යුතු,yuthu
වශයෙන්,washayen
නො,no
මට,mata
කිරීම,kireema
මා,ma
එහි,ehi
ගේ,ge
පිළිබඳ,pilibanda
තම,thama
කිරීමට,kireemata
ඔවුන්,owun
ලද,lada
අනුව,anuwa
එහෙත්,eheth
පසු,pasu
මහතා,mahatha
එක්,ek
අප,apa
අපි,api
කටයුතු,katayuthu
මෙන්,men
මගේ,mage
ඔහුගේ,ohuge
ගත,gatha
වෙයි,weyi
සිට,sita
සිදු,sidu
එක,eka
නැත,netha
පත්,path
සිටි,siti
වන්නේ,wanne
ලබා,laba
වැනි,weni
නෑ,ne
මෙසේ,mese
වූයේ,wuye
වඩා,wada
බොහෝ,boho
ගැනීමට,geneemata
ඉතා,itha
ඇය,eya
දැන්,den
ශ්‍රී,shree
මෙහි,mehi
ක්,k
නැති,nethi
එසේ,ese
නැහැ,nehe
තවත්,thawath
තිබේ,thibe
ඔබ,oba
අපේ,ape
බවට,bawata
වැඩි,wedi
පමණක්,pamanak
යම්,yam
සමඟ,samanga
ගත්,gath
මත,matha
ඇත්තේ,eththe
වැඩ,weda
ඈ,e
ඔහුට,ohuta
මෙය,meya
සේ,se
කතා,katha
නමුත්,namuth
ඊට,eeta
පෙර,pera
